id,cost
1,1.004725774
2,0.027758494
3,92.91553103
4,27.38412608
5,13.84707092
6,40.78986662
7,68.73786619
8,15.47797072
9,0.208154134
10,61.88807285
11,22.119234
12,35.11270888
13,0.067995105
14,8.355343949
15,11.39347113
16,35.63071755
17,13.49002046
18,10.54992969
19,3.715048982
20,25.20988235
21,23.51395104
22,25.91493033
23,0.975722442
24,0.210907513
25,1.980656282
26,23.72007433
27,10000
28,10000
29,10000
30,10000
31,10000
32,10000
33,107.1213006
34,94.43419977
35,75.85023933
36,33.33804749
37,2.9484352
38,22.73512775
39,42.67602065
40,0.948467964
41,18.45225682
42,48.05883469
43,10.93221767
44,15.71460571
45,37.36384167
46,19.5840699
47,10.69632342
48,18.76213542
49,21.18814627
50,62.69470363
51,15.9944194
52,13.1901745
53,17.43908765
54,18.10517117
55,10.27614448
56,6.793524756
57,12.98309944
58,11.13414905
59,1.333120402
60,21.30324341
61,0.060557648
62,90.27282439
63,10000
64,24.54640173
65,13.84651376
66,19.17189704
67,1.325788674
68,16.71185938
69,18.8475106
70,29.44448604
71,12.39724778
72,4.57475369
73,0.954448677
74,8.750546944
75,11.67567278
76,13.39377055
77,1.315765407
78,11.13438928
79,3.990092573
80,7.437692328
81,9.137363952
82,5.674707379
83,13.7824693
84,8.878296202
85,26.04366656
86,5.211270453
87,14.40257798
88,7.14644222
89,10000
90,10000
91,0.009257262
92,10000
93,16.13560013
94,8.506211087
95,18.04192854
96,37.43849447
97,34.11504447
98,19.92274053
99,19.72294975
100,4.76351789
101,17.9911439
102,11.42115297
103,22.62419213
104,10.3542881
105,13.26831886
106,26.3651269
107,3.866253841
108,0.086468114
109,7.897202508
110,7.485511683
111,17.35104234
112,25.44716217
113,33.50165647
114,9.748109199
115,14.98995736
116,8.718152661
117,13.99758044
118,10.4347071
119,22.00543354
120,8.241126923
121,6.164036365
122,13.80301891
123,8.519064174
124,6.181847465
125,14.70588767
126,7.952348102
127,5.811194117
128,11.58961858
129,6.325840086
130,2.339114715
131,8.653210198
132,3.875828981
133,8.615810901
134,1.492414797
135,9.507776676
136,6.299139596
137,7.586620848
138,6.883244779
139,12.19176128
140,4.485499664
141,5.489806558
142,35.39124618
143,6.151940808
144,20.71506395
145,3.518400112
146,2.887702195
147,8.953963336
148,11.41024894
149,14.64967146
150,10000
151,10000
152,10000
153,13.34604555
154,14.18072087
155,7.448227954
156,19.94261958
157,13.92872497
158,6.99005189
159,1.266437437
160,8.15313033
161,6.302538608
162,6.726167547
163,4.577890682
164,8.563121674
165,16.09291731
166,5.508526038
167,0.637615302
168,1.109662159
169,4.566574562
170,4.811222284
171,5.200733673
172,10.87450256
173,9.47316966
174,5.907531092
175,6.343863855
176,7.228403256
177,11.59845685
178,5.896583494
179,8.238173193
180,8.131112455
181,10.14389554
182,11.71736832
183,17.2350621
184,4.47881101
185,18.61968825
186,10.17725377
187,5.562309832
188,6.254067808
189,6.054799916
190,6.686050991
191,6.358561343
192,5.674900247
193,0.420932687
194,0.545134716
195,3.00370876
196,6.140527424
197,9.423222538
198,1.324394232
199,7.028840978
200,5.710145066
201,7.465890158
202,8.406819868
203,5.401318576
204,9.153882068
205,5.021870341
206,9.686956725
207,4.2213574
208,6.485045183
209,0.903124864
210,0.719684764
211,12.81367619
212,13.54578953
213,13.93932703
214,17.90782022
215,16.06830098
216,3.415150826
217,9.838898388
218,4.360378173
219,5.433737121
220,0.009627988
221,13.97987788
222,5.926052483
223,9.61072146
224,15.56410494
225,13.82734426
226,6.324574702
227,6.142704639
228,4.29778881
229,9.994200203
230,8.438487134
231,6.368532799
232,5.507652988
233,6.189882551
234,3.692609259
235,10.97188815
236,5.152102861
237,8.823829023
238,11.862125
239,3.604843142
240,5.834482805
241,1.912606939
242,4.285534453
243,5.054365246
244,4.965169237
245,8.024948556
246,7.275184631
247,5.552745692
248,6.684897027
249,6.748364148
250,5.270328529
