"scen","cost","protected","maxRoadDns","minPropSz","maxAgrDns","status","runtime","cost_out","cost_dollar","area","OF","SAV","BETA","WET","SHR","HUM","neg_HUM","StC","SeqC","EO","SEI_CB","SEI_HT","SEI_OF","SEI_RI","SEI_SG","SEI_SV","SEI_WD","SEI_WN","Nat_Pl_Rch","FISH","HERP","CButCp","CpePrRs","CfLup","DsPrRs","FthlSdg","FrstSnail","MedFoam","Meconella","Microseris","MMurrlet","PopFlower","svMoth","Area","OF_Tar","SAV_Tar","BETA_Tar","WET_Tar","SHR_Tar","HUM_Tar","neg_HUM_Tar","StC_Tar","SeqC_Tar","EO_Tar","SEI_CB_Tar","SEI_HT_Tar","SEI_OF_Tar","SEI_RI_Tar","SEI_SG_Tar","SEI_SV_Tar","SEI_WD_Tar","SEI_WN_Tar","Nat_Pl_Rch_Tar","FISH_Tar","HERP_Tar","CButCp_Tar","CpePrRs_Tar","CfLup_Tar","DsPrRs_Tar","FthlSdg_Tar","FrstSnail_Tar","MedFoam_Tar","Meconella_Tar","Microseris_Tar","MMurrlet_Tar","PopFlower_Tar","svMoth_Tar","Area_Tar"
"OF_10","dollar","available","0","0","0","OPTIMAL","4","111659611","0","0.21","10","7.58","8.82","7.69","7.96","4.18","8.59","9.57","10.77","13.26","2.4","7.84","7.73","7.87","6.44","3.83","20.97","7.94","6.32","8.73","7.6","0","0","0","0","0","0","0","8.79","0","5.48","0","0","6.77","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"OF_20","dollar","available","0","0","0","OPTIMAL","4","355557189","0","0.41","20","15.91","18.15","15.05","16.2","7.95","17.43","21.92","21.12","23.36","3.67","16.99","15.45","16.98","15","5.54","26.64","11.78","13.34","16.21","15.4","0","0.23","0","0","0","0.01","1.5","12.54","0","41.62","0","0","13.48","20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"OF_30","dollar","available","0","0","0","OPTIMAL","4","755416382","0","0.72","30","24.61","27.66","22.83","25.03","12.49","26.68","32.41","31.9","36.67","15.27","37.85","25.76","23.86","29.31","15.03","33.25","19.53","21","24.45","23.65","0","35.36","0","0","0","3.63","1.5","36.84","0","51.69","0","8.62","21.12","30","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"OF_40","dollar","available","0","0","0","OPTIMAL","4","1404021786","0","1.12","40","33.89","37.4","32.1","34.26","17.88","36.32","44.07","42.56","46.81","21.4","53.9","32.08","38.12","43.94","16.99","42.09","31.2","29.52","33.88","32.71","0","35.36","0","0.04","0","5.74","1.5","38.75","0","66.85","0","8.62","28.98","40","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"OF_50","dollar","available","0","0","0","OPTIMAL","4","2381933730","0","1.7","50","42.92","47.01","40.42","43.58","23.36","45.67","54.71","53.22","58.96","33.5","62.27","46.94","50.33","55.04","17.43","53.78","39.58","37.56","42.45","40.74","0","35.36","0","90.35","91.26","23.76","66.96","45.14","73.71","73.45","0","8.62","36.94","50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
